CONCELHO,Lng Ponderado,Lat Ponderado,Pop,Area Ha,H,M,0-4,5-9,10-13,14-19,20-24,25-64,>=65
ABRANTES,-8.18358279618767,39.4690753155424,39325,71469,09,18950,20375,1421,1699,1484,2027,1826,20624,10244
ÁGUEDA,-8.43990181652404,40.5817566196896,47729,33527,45,22891,24838,1940,2264,1934,3031,2624,26598,9338
AGUIAR DA BEIRA,-7.52955545317835,40.7803656513437,5473,20676,57,2580,2893,164,197,201,340,273,2659,1639
ALANDROAL,-7.40250149610946,38.60683103549,5843,54267,81,2833,3010,217,202,199,294,302,2852,1777
ALBERGARIA-A-VELHA,-8.4953173439448,40.6967830927322,25252,15882,49,12230,13022,1227,1262,1113,1641,1337,14118,4554
ALBUFEIRA,-8.23426933618208,37.1094977165419,40828,14066,42,20028,20800,2130,2171,1758,2776,2245,24241,5507
ALCÁCER DO SAL,-8.49636492004078,38.3778959730973,13046,149987,29,6332,6714,541,587,455,676,652,6855,3280
ALCANENA,-8.67919751100843,39.4792974814407,13868,12732,88,6686,7182,563,632,522,786,711,7360,3294
ALCOBAÇA,-8.99089019897464,39.5309260494729,56688,40814,08,27455,29233,2339,2792,2518,3668,2960,30706,11705
ALCOCHETE,-8.93518249013397,38.7338225874009,17569,12836,48,8494,9075,1186,1098,843,1085,856,9963,2538
ALCOUTIM,-7.66817744122133,37.4238705739634,2917,57536,33,1454,1463,61,76,78,104,93,1223,1282
ALENQUER,-9.0213838920222,39.0691718091743,43267,30421,92,21066,22201,2291,2423,1958,2656,2235,24127,7577
ALFÂNDEGA DA FÉ,-6.95376168419343,41.3526744710185,5104,32194,64,2467,2637,131,162,161,298,241,2451,1660
ALIJÓ,-7.48769509575144,41.2885485732573,11942,29759,88,5772,6170,388,451,412,658,635,6043,3355
ALJEZUR,-8.78929780603343,37.3243513748179,5884,32349,96,2905,2979,220,222,180,271,235,3056,1700
ALJUSTREL,-8.16808210789417,37.8944621643491,9257,45847,41,4579,4678,335,331,318,510,467,4938,2358
ALMADA,-9.18063529957405,38.6483022650944,174030,7000,89,82496,91534,8261,8479,7148,10294,9068,95055,35725
ALMEIDA,-6.89277560288002,40.6295654449897,7242,51798,46,3395,3847,132,200,206,326,314,3391,2673
ALMEIRIM,-8.60552734137215,39.1744292803577,23376,22212,05,11100,12276,1164,1189,987,1283,1050,12566,5137
ALMODÔVAR,-8.06987953462708,37.5006718689165,7449,77788,02,3677,3772,281,295,242,343,363,3684,2241
ALPIARÇA,-8.57056059659633,39.2411307065625,7702,9536,33,3699,4003,376,384,314,402,338,4003,1885
ALTER DO CHÃO,-7.69118709799945,39.2129714081051,3562,36206,62,1680,1882,113,128,113,186,161,1672,1189
ALVAIÁZERE,-8.38125397206174,39.8266904434149,7287,16047,76,3406,3881,226,247,247,387,388,3401,2391
ALVITO,-8.04241509087406,38.2446211889589,2504,26485,32,1199,1305,94,105,102,137,148,1212,706
AMADORA,-9.22511180899332,38.7580902429753,175135,2378,48,82341,92794,8696,8444,7098,10869,10270,97014,32742
AMARANTE,-8.08533659497316,41.2808532197311,56264,30133,13,26968,29296,2439,3019,2855,4396,3411,31073,9071
AMARES,-8.36320526509323,41.6379746809484,18889,8195,4,9131,9758,908,1042,962,1416,1203,10261,3097
ANADIA,-8.45783021451832,40.4529620693809,29150,21663,49,13967,15183,1031,1220,1186,1711,1505,15602,6895
ANGRA DO HEROÍSMO,-27.2290814858808,38.6815655894306,35402,23899,66,17265,18137,1671,1954,1724,2702,2435,19705,5211
ANSIÃO,-8.42655843086946,39.9302852866232,13092,17609,43,6173,6919,484,572,505,724,679,6610,3518
ARCOS DE VALDEVEZ,-8.41784771710381,41.8649438058564,22847,44759,62,10429,12418,749,860,775,1209,1066,11131,7057
ARGANIL,-8.02865267096703,40.2347899475172,12145,33283,94,5788,6357,378,470,392,706,576,5991,3632
ARMAMAR,-7.68504865378646,41.0984309065652,6297,11723,72,2981,3316,210,283,266,451,320,3171,1596
AROUCA,-8.28975855187709,40.9322727826564,22359,32910,51,10799,11560,1039,1102,1051,1631,1353,12159,4024
ARRAIOLOS,-7.95623769750397,38.7731027493128,7363,68374,55,3576,3787,284,296,269,427,330,3825,1932
ARRONCHES,-7.23948552533613,39.118591948121,3165,31464,72,1535,1630,90,106,108,170,144,1478,1069
ARRUDA DOS VINHOS,-9.08485256050402,38.9820045954577,13391,7795,94,6571,6820,784,831,665,812,603,7387,2309
AVEIRO,-8.62928818003112,40.6411221204591,78450,19757,58,37120,41330,3638,3706,3269,5041,4328,45202,13266
AVIS,-7.88681489560209,39.0761477996445,4571,60596,51,2178,2393,140,185,156,264,255,2165,1406
AZAMBUJA,-8.89666702514327,39.125862943159,21814,26265,65,11031,10783,1017,1073,893,1181,998,12257,4395
BAIÃO,-7.99987961942799,41.1455012943564,20522,17452,82,9811,10711,853,1042,959,1530,1383,10921,3834
BARCELOS,-8.61295784812881,41.5339414931695,120391,37890,14,58284,62107,5596,6626,6156,9546,7755,68165,16547
BARRANCOS,-7.05218788443442,38.1481882965502,1834,16841,73,890,944,78,85,66,92,89,968,456
BARREIRO,-9.05512552911274,38.6455485076559,78764,3639,07,37347,41417,3580,3871,3052,4442,3696,43112,17011
BATALHA,-8.79477181773645,39.6480046565092,15805,10341,6,7648,8157,772,808,702,1063,830,8669,2961
BEJA,-7.87248293122349,38.0084807911678,35854,114647,54,17387,18467,1775,1847,1422,2041,1860,19347,7562
BELMONTE,-7.33406488639501,40.3040516543436,2947,8043,95,1439,1508,91,98,93,170,138,1441,916
BENAVENTE,-8.81285951007701,38.8750216206088,29019,52138,4,14166,14853,1654,1746,1434,1887,1555,16091,4652
BOMBARRAL,-9.16414912935727,39.2748001245379,13193,9128,55,6353,6840,523,608,501,849,659,7004,3049
BORBA,-7.46985973105166,38.8022499745044,7333,14518,66,3615,3718,260,273,254,402,376,3817,1951
BOTICAS,-7.70280806884906,41.6864200916529,5750,32195,66,2779,2971,162,206,169,278,265,2843,1827
BRAGA,-8.4249161110272,41.5477943542993,181494,18339,93,86707,94787,9021,9899,8572,13024,11249,105835,23894
BRAGANÇA,-6.75635762077957,41.7936664682478,35341,117357,26,16966,18375,1372,1426,1274,2000,1882,19182,8205
CABECEIRAS DE BASTO,-7.98277703145739,41.5133405764244,16710,24182,17,8115,8595,757,915,828,1351,1033,8605,3221
CADAVAL,-9.07567316854643,39.236748000162,14228,17489,29,6871,7357,640,688,555,756,637,7310,3642
CALDAS DA RAINHA,-9.10964618039746,39.4113658862105,51729,25569,45,24505,27224,2241,2523,2213,3305,2750,27877,10820
