Concelho,Long,Lat,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020
Abrantes,-8.18358279618767,39.4690753155424,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,5,7
Águeda,-8.43990181652404,40.5817566196896,3,3,10,10,13,15,0,14,19,20,22,24,24,25,26,26,30,31,32,32,32,34,35,38,40
Aguiar Da Beira,-7.52955545317835,40.7803656513437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alandroal,-7.40250149610946,38.60683103549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albergaria-A-Velha,-8.4953173439448,40.6967830927322,5,5,21,28,28,32,50,31,32,34,52,53,54,54,54,54,52,52,52,52,52,54,56,56,57
Albufeira,-8.23426933618208,37.1094977165419,5,8,18,22,22,19,21,30,31,34,38,39,40,44,46,45,50,54,52,52,55,55,59,62,63
Alcácer Do Sal,-8.49636492004078,38.3778959730973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5
Alcanena,-8.67919751100843,39.4792974814407,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,6,6
Alcobaça,-8.99089019897464,39.5309260494729,0,0,0,0,0,0,0,0,3,3,3,5,5,6,7,7,7,7,7,7,7,8,8,9,10
Alcochete,-8.93518249013397,38.7338225874009,3,3,3,3,3,0,3,4,5,5,5,7,7,8,7,7,7,9,9,9,9,10,10,11,12
Alcoutim,-7.66817744122133,37.4238705739634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alenquer,-9.0213838920222,39.0691718091743,0,0,0,0,0,0,4,4,5,7,8,9,9,9,10,10,11,14,15,15,15,15,16,16,16
Alfândega Da Fé,-6.95376168419343,41.3526744710185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
Alijó,-7.48769509575144,41.2885485732573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aljezur,-8.78929780603343,37.3243513748179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aljustrel,-8.16808210789417,37.8944621643491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almada,-9.18063529957405,38.6483022650944,31,35,35,35,53,64,68,71,79,86,91,111,121,125,130,134,138,140,142,144,148,148,145,149,152
Almeida,-6.89277560288002,40.6295654449897,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,6,6,6
Almeirim,-8.60552734137215,39.1744292803577,0,3,3,3,7,7,9,8,8,8,8,8,8,8,8,8,9,9,10,10,10,11,13,13,13
Almodôvar,-8.06987953462708,37.5006718689165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
Alpiarça,-8.57056059659633,39.2411307065625,0,0,0,0,3,0,3,3,3,3,3,3,3,4,6,6,6,6,5,6,6,6,6,6,6
Alter Do Chão,-7.69118709799945,39.2129714081051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvaiázere,-8.38125397206174,39.8266904434149,0,0,3,3,4,0,4,4,5,5,17,22,22,22,22,22,22,22,22,23,23,23,23,23,23
Alvito,-8.04241509087406,38.2446211889589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amadora,-9.22511180899332,38.7580902429753,21,24,31,31,41,53,63,62,68,79,82,91,99,107,108,113,129,147,153,155,159,165,175,205,220
Amarante,-8.08533659497316,41.2808532197311,0,0,0,3,4,0,6,8,9,11,12,15,21,21,27,27,30,32,35,38,39,41,47,50,50
Amares,-8.36320526509323,41.6379746809484,0,0,6,7,8,9,9,11,13,17,17,17,18,18,19,19,21,24,25,26,28,28,30,33,33
Anadia,-8.45783021451832,40.4529620693809,0,0,0,4,4,0,5,5,5,5,7,10,11,11,12,13,12,13,13,13,15,18,18,19,20
Ansião,-8.42655843086946,39.9302852866232,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,5,5
Arcos De Valdevez,-8.41784771710381,41.8649438058564,3,3,8,8,7,9,9,9,11,12,12,19,21,21,26,26,32,34,39,42,42,44,44,45,47
Arganil,-8.02865267096703,40.2347899475172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,6,6
Armamar,-7.68504865378646,41.0984309065652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arouca,-8.28975855187709,40.9322727826564,0,0,0,0,8,10,12,12,14,14,14,15,15,16,17,17,23,23,25,26,26,28,27,26,26
Arraiolos,-7.95623769750397,38.7731027493128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arronches,-7.23948552533613,39.118591948121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arruda Dos Vinhos,-9.08485256050402,38.9820045954577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aveiro,-8.62928818003112,40.6411221204591,6,6,46,55,62,95,95,70,87,127,130,140,141,142,151,152,153,158,160,164,165,170,203,227,232
Avis,-7.88681489560209,39.0761477996445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azambuja,-8.89666702514327,39.125862943159,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4
Baião,-7.99987961942799,41.1455012943564,0,0,0,0,0,0,4,0,4,4,5,5,7,7,7,7,7,6,6,6,6,6,7,8,8
Barcelos,-8.61295784812881,41.5339414931695,3,3,15,20,20,29,35,39,55,65,70,83,90,93,103,107,122,126,133,137,141,141,138,156,156
Barrancos,-7.05218788443442,38.1481882965502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barreiro,-9.05512552911274,38.6455485076559,5,6,6,6,18,17,23,37,38,49,53,54,54,54,56,57,56,74,74,74,75,76,76,80,81
Batalha,-8.79477181773645,39.6480046565092,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Beja,-7.87248293122349,38.0084807911678,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,5,5,6,6,6,8,9,9,9
Belmonte,-7.33406488639501,40.3040516543436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benavente,-8.81285951007701,38.8750216206088,0,0,0,0,6,13,12,7,10,12,13,22,23,23,24,25,25,26,26,27,27,29,29,27,27
Bombarral,-9.16414912935727,39.2748001245379,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,3,0,0,3,3,3,3,3
Borba,-7.46985973105166,38.8022499745044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boticas,-7.70280806884906,41.6864200916529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
